0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:06 +0800] "GET /B2CforBook/images/women/basic/589550-0014_1_t.jpg HTTP/1.1" 200 50625
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:06 +0800] "GET /B2CforBook/images/women/basic/848051-0014_1_t.jpg HTTP/1.1" 200 48907
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:06 +0800] "GET /B2CforBook/images/women/basic/848099-0067_1_t.jpg HTTP/1.1" 200 49988
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:06 +0800] "GET /B2CforBook/images/women/basic/688086-0286_1_t.jpg HTTP/1.1" 200 44295
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/index.jsp HTTP/1.1" 200 26480
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/js/minified.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/rev-slider/img/slides/Street-Fashion.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/img/transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 200 267081
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/rev-slider/img/slides/3303349658_cfaebb811f_o.jpg HTTP/1.1" 304 -
